source_taxon_name,interaction_type,target_taxon_name,latitude,longitude
Platycheirus,visitsFlowersOf,Aristotelia chilensis,-40,-67
Platycheirus,visitsFlowersOf,Alstroemeria aurea,-40,-67
Platycheirus,visitsFlowersOf,Vicia nigricans,-41,-71.5
Platycheirus,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Platycheirus,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Platycheirus,visitsFlowersOf,Digitalis purpurea,-41,-71.5
Platycheirus,visitsFlowersOf,Diplolepis diemii,-41,-71.5
Platycheirus,visitsFlowersOf,Calceolaria crenatiflora,-41,-71.5
Platycheirus,visitsFlowersOf,Berberis,-41,-71.5
Platycheirus,visitsFlowersOf,Aristotelia chilensis,-41,-71.5
Platycheirus,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Trichophthalma,visitsFlowersOf,Rosa eglanteria,-40,-67
Trichophthalma,visitsFlowersOf,Alstroemeria aurea,-40,-67
Trichophthalma,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Trichophthalma,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Scaeva,visitsFlowersOf,Senecio subulatus,-42.74852,-72.61002
Scaeva,visitsFlowersOf,Rapistrum rugosum,-42.74852,-72.61002
Scaeva,visitsFlowersOf,Hysterionica jasionoides,-42.74852,-72.61002
Scaeva,visitsFlowersOf,Grindelia chiloensis,-42.74852,-72.61002
Scaeva,visitsFlowersOf,Discaria,-42.74852,-72.61002
Scaeva,visitsFlowersOf,Baccharis angustifolia,-42.74852,-72.61002
Scaeva,visitsFlowersOf,Schinus patagonicus,-40,-67
Scaeva,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Camponotus,visitsFlowersOf,Schinus patagonicus,-40,-67
Camponotus,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Camponotus,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Policana albopilosa,visitsFlowersOf,Schinus patagonicus,-40,-67
Policana albopilosa,visitsFlowersOf,Aristotelia chilensis,-40,-67
Policana albopilosa,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Policana albopilosa,visitsFlowersOf,Aristotelia chilensis,-41,-71.5
Chilicola,visitsFlowersOf,Alstroemeria aurea,-40,-67
Chilicola,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Ruizantheda,visitsFlowersOf,Alstroemeria aurea,-40,-67
Ruizantheda,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Svastrides melanura,visitsFlowersOf,Alstroemeria aurea,-40,-67
Svastrides melanura,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Sphecidae,visitsFlowersOf,Grindelia chiloensis,-42.74852,-72.61002
Sphecidae,visitsFlowersOf,Baccharis angustifolia,-42.74852,-72.61002
Copestylum,visitsFlowersOf,Thelesperma megapotamicum,-42.74852,-72.61002
Copestylum,visitsFlowersOf,Senecio subulatus,-42.74852,-72.61002
Copestylum,visitsFlowersOf,Senecio filaginoides,-42.74852,-72.61002
Copestylum,visitsFlowersOf,Rosa rubiginosa,-42.74852,-72.61002
Copestylum,visitsFlowersOf,Rapistrum rugosum,-42.74852,-72.61002
Copestylum,visitsFlowersOf,Larrea divaricata,-42.74852,-72.61002
Copestylum,visitsFlowersOf,Hysterionica jasionoides,-42.74852,-72.61002
Copestylum,visitsFlowersOf,Grindelia chiloensis,-42.74852,-72.61002
Copestylum,visitsFlowersOf,Discaria,-42.74852,-72.61002
Callonychium mandibulare,visitsFlowersOf,Thelesperma megapotamicum,-42.74852,-72.61002
Callonychium mandibulare,visitsFlowersOf,Hysterionica jasionoides,-42.74852,-72.61002
Callonychium mandibulare,visitsFlowersOf,Grindelia chiloensis,-42.74852,-72.61002
Tachinidae,visitsFlowersOf,Senecio subulatus,-42.74852,-72.61002
Tachinidae,visitsFlowersOf,Rosa rubiginosa,-42.74852,-72.61002
Tachinidae,visitsFlowersOf,Grindelia chiloensis,-42.74852,-72.61002
Tachinidae,visitsFlowersOf,Discaria,-42.74852,-72.61002
Sarcophagidae,visitsFlowersOf,Senecio subulatus,-42.74852,-72.61002
Sarcophagidae,visitsFlowersOf,Grindelia chiloensis,-42.74852,-72.61002
Sarcophagidae,visitsFlowersOf,Discaria,-42.74852,-72.61002
Sarcophagidae,visitsFlowersOf,Baccharis angustifolia,-42.74852,-72.61002
Ammophila,visitsFlowersOf,Senecio subulatus,-42.74852,-72.61002
Eumenidae,visitsFlowersOf,Senecio filaginoides,-42.74852,-72.61002
Toxomerus,visitsFlowersOf,Rosa rubiginosa,-42.74852,-72.61002
Toxomerus,visitsFlowersOf,Schinus patagonicus,-41,-71.5
Toxomerus,visitsFlowersOf,Rosa eglanteria,-41,-71.5
Toxomerus,visitsFlowersOf,Ribes magellanicum,-41,-71.5
Toxomerus,visitsFlowersOf,Calceolaria crenatiflora,-41,-71.5
Toxomerus,visitsFlowersOf,Berberis,-41,-71.5
Toxomerus,visitsFlowersOf,Berberis,-41,-71.5
Toxomerus,visitsFlowersOf,Alstroemeria aurea,-41,-71.5
Buprestidae,visitsFlowersOf,Rosa rubiginosa,-42.74852,-72.61002
Buprestidae,visitsFlowersOf,Grindelia chiloensis,-42.74852,-72.61002
Psaenythia rufipes,visitsFlowersOf,Eriosyce,-42.74852,-72.61002
Psaenythia rufipes,visitsFlowersOf,Tunilla corrugata,-42.74852,-72.61002
